track_title;lyric
Karma;"You're talking shit
For the hell of it
Addicted to betrayal but you're relevant
You're terrified to look down
'Cause if you dare
You'll see the glare
Of everyone you burned just to get there
It's coming back around
And I keep my side of the street clean
You wouldn't know what I mean

'Cause karma is my boyfriend
Karma is a God
Karma is the breeze in my hair on the weekend
Karma's a relaxing thought
Aren't you envious that for you it's not?
Sweet like honey
Karma is a cat
Purring in my lap 'cause it loves me
Flexing like a goddamn acrobat
Me and karma vibe like that

Spiderboy, king of thieves
Weave your little webs of opacity
My pennies made your crown
Trick me once
Trick me twice
Don't you know that cash ain't the only price?
It's coming back around
And I keep my side of the street clean
You wouldn't know what I mean

'Cause karma is my boyfriend
Karma is a God
Karma is the breeze in my hair on the weekend
Karma's a relaxing thought
Aren't you envious that for you it's not?
Sweet like honey
Karma is a cat
Purring in my lap 'cause it loves me
Flexing like a goddamn acrobat
Me and karma vibe like that

Ask me what I learned from all those years
Ask me what I earned from all those tears
Ask me why so many fade but I'm still here

'Cause karma is the thunder
Rattling your ground
Karma's on your scent like a bounty hunter
Karma's gonna track you down
Step by step from town to town
Sweet like justice
Karma is a queen
Karma takes all my friends to the summit
Karma is the guy on the screen coming straight home to me

'Cause karma is my boyfriend
Karma is a God
Karma is the breeze in my hair on the weekend
Karma's a relaxing thought
Aren't you envious that for you it's not?
Sweet like honey
Karma is a cat
Purring in my lap 'cause it loves me
Flexing like a goddamn acrobat
Me and karma vibe like that

Karma is my boyfriend
Karma is a God
Karma's a relaxing thought"
Sweet Nothing;"I spy with my little tired eye
Tiny as a firefly
A pebble that we picked up last July
Down deep inside your pocket
We almost forgot it
Does it ever miss Wicklow sometimes?
Ooh
Ooh

They said the end is coming
Everyone's up to something
I find myself running home to your
Sweet nothings

Outside, they're push and shoving
You're in the kitchen humming
All that you ever wanted from me was
Sweet nothing

On the way home
I wrote a poem
You say, ""What a mind""
This happens all the time
Ooh
Ooh

'Cause they said the end is coming
Everyone's up to something
I find myself running home to your
Sweet nothings

Outside they're push and shoving
You're in the kitchen humming
All that you ever wanted from me was
Nothing

Industry disrupters and soul deconstructors
And smooth-talking hucksters
Out glad-handing each other
And the voices that implore
""You should be doing more""
To you I can admit
That I'm just too soft for all of it
Ooh

They said the end is coming
Everyone's up to something
I find myself running home to your
Sweet nothings

Outside, they're push and shoving
You're in the kitchen humming
All that you ever wanted from me was
Sweet nothing

They said the end is coming (They said the end is coming)
Everyone's up to something (Everyone's up to something)
I find myself running home to your
Sweet nothings

Outside, they're push and shoving (Outside, they're push and shoving)
You're in the kitchen humming (You're in the kitchen humming)
All that you ever wanted from me was
Sweet nothing"
Mastermind;"Once upon a time, the planets and the fates and all the stars aligned
You and I ended up in the same room at the same time
And the touch of a hand lit the fuse
Of a chain reaction of countermoves
To assess the equation of you
Checkmate, I couldn't lose

What if I told you none of it was accidental
And the first night that you saw me, nothing was gonna stop me
I laid the groundwork and then just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all by design
'Cause I'm a mastermind

You see all the wisest women had to do it this way
'Cause we were born to be the pawn in every lover's game
If you fail to plan, you plan to fail
Strategy sets the scene for the tale
I'm the wind in our free-flowing sails
And the liquor in our cocktails

What if I told you none of it was accidental
And the first night that you saw me, I knew I wanted your body
I laid the groundwork and then just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all my design
'Cause I'm a mastermind

No one wanted to play with me as a little kid
So I've been scheming like a criminal ever since
To make them love me and make it seem effortless
This is the first time I've felt the need to confess
And I swear
I'm only cryptic and Machiavellian 'cause I care

So I told you none of it was accidental
And the first night that you saw me, nothing was gonna stop me
I laid the groundwork and then saw a wide smirk
On your face, you knew the entire time
You knew that I'm a mastermind
And now you're mine
Yeah, all you did was smile
'Cause I'm a mastermind"
The Great War;"My knuckles were bruised like violets
Sucker punching walls
Cursed you as I sleep talked
Spineless in my tomb of silence
Tore your banners down
Took the battle underground
And maybe it was egos swinging
Maybe it was her
Flashes of the battle come back to me in a blur

All that bloodshed, crimson clover
Uh-huh, sweet dream was over
My hand was the one you reached for
All throughout the Great War
Always remember, uh-huh
Tears on the letter, I vowed
Not to cry anymore
If we survived the Great War

You drew up some good faith treaties
I drew curtains closed
Drank my poison all alone
You said I have to trust more freely
But diesel is desire
You were playing with fire
And maybe it's the past that's talking
Screaming from the crypt
Telling me to punish you for things you never did
So I justified it

All that bloodshed, crimson clover
Uh-huh, the bombs were closer
My hand was the one you reached for
All throughout the Great War
Always remember, uh-huh
The burning embers, I vowed
Not to fight anymore
If we survived the Great War
Uh-huh, uh-huh

It turned into something bigger
Somewhere in the haze
Got a sense I'd been betrayed
Your finger on my hairpin triggers
Soldier down on that icy ground
Looked up at me with honor and truth
Broken and blue
So I called off the troops
That was the night I nearly lost you
I really thought I'd lost you

We can plant a memory garden
Say a solemn prayer
Place a poppy in my hair
There's no morning glory
It was war, it wasn't fair
And we will never go back to that

Bloodshed, crimson clover
Uh-huh, the worst was over
My hand was the one you reached for
All throughout the Great War
Always remember, uh-huh
We're burned for better, I vowed
I would always be yours
'Cause we survived the Great War
Uh-huh, uh-huh
I will always be yours
'Cause we survived the Great War
Uh-huh
I vowed I will always be yours"
Bigger Than The Whole Sky;"No words appear before me in the aftermath
Salt streams out my eyes and into my ears
Every single thing I touch becomes sick with sadness
'Cause it's all over now, all out to sea

Goodbye, goodbye, goodbye
You were bigger than the whole sky
You were more than just a short time
And I've got a lot to pine about
I've got a lot to live without
I'm never gonna meet
What could've been, would've been
What should've been you
What could've been, would've been you

Did some bird flap its wings over in Asia?
Did some force take you because I didn't pray?
Every single thing to come has turned into ashes
'Cause it's all over, it's not meant to be
So I'll say words I don't believe

Goodbye, goodbye, goodbye
You were bigger than the whole sky
You were more than just a short time
And I've got a lot to pine about
I've got a lot to live without
I'm never gonna meet
What could've been, would've been
What should've been you

What could've been, would've been you
What could've been, would've been
What should've been you
What could've been, would've been you

Goodbye, goodbye, goodbye
You were bigger than the whole sky
You were more than just a short time
And I've got a lot to pine about
I've got a lot to live without
I'm never gonna meet
What could've been, would've been
What should've been you"
Paris;"Your ex-friend's sister met someone at a club and he kissed her
Turns out it was that guy you hooked up with ages ago, some wannabe Z-lister
And all the outfits were terrible
2003 unbearable
Did you see the photos?
No, I didn't but thanks though

I'm so in love that I might stop breathing
Drew a map on your bedroom ceiling
No, I didn't see the news
'Cause we were somewhere else
Stumble down pretend alleyways
Cheap wine, make believe it's champagne
I was taken by the view
Like we were in Paris
Like we were somewhere else
Like we were in Paris, oh
We were somewhere else

Privacy sign on the door
And on my page and on the whole world
Romance is not dead
If you keep it just yours
Levitate above all the messes made
Sit quiet by my side in the shade
And not the kind that's thrown
I mean the kind under where a tree has grown

I'm so in love that I might stop breathing
Drew a map on your bedroom ceiling
No, I didn't see the news
'Cause we were somewhere else
Stumble down pretend alleyways
Cheap wine, make believe it's champagne
I was taken by the view
Like we were in Paris
Like we were somewhere else
Like we were in Paris, oh
We were somewhere else

I want to brainwash you into loving me forever
I want to transport you to somewhere the culture's clever
Confess my truth in swooping, sloping, cursive letters
Let the only flashing lights
Be the tower at midnight
In my mind

We drew a map on your bedroom ceiling
No, I didn't see the news
'Cause we were somewhere else
In an alleyway
Drinking champagne
'Cause we were in Paris
Yes, we were somewhere else
My love, we were in Paris
Yes, we were somewhere else"
High Infidelity;"Lock broken
Slur spoken
Wound open
Game token
I didn't know you were keeping count
Rain soaking
Blind hoping
You said I was freeloading
I didn't know you were keeping count

High infidelity
Put on your records and regret me
I bent the truth too far tonight
I was dancing around, dancing around it
High infidelity
Put on your headphones and burn my city
Your picket fence is sharp as knives
I was dancing around, dancing around it

Do you really want to know where I was April 29th?
Do I really have to chart the constellations in his eyes?

Storm coming
Good husband
Bad omen
Dragged my feet right down the aisle
At the house lonely
Good money
I'd pay, if you'd just know me
Seemed like the right thing at the time

You know there's many different ways that you can kill the one you love
The slowest way is never loving them enough
Do you really want to know where I was April 29th?
Do I really have to tell you how he brought me back to life?

High infidelity
Put on your records and regret me
I bent the truth too far tonight
I was dancing around, dancing around it

High infidelity
Put on your headphones and burn my city
Your picket fence is sharp as knives
I was dancing around, dancing around it

Do you really want to know where I was April 29th?
Do I really have to chart the constellations in his eyes?
You know there's many different ways that you can kill the one you love
The slowest way is never loving them enough

High infidelity
Put on your records and regret meeting me
I bent the truth too far tonight
I was dancing around, dancing around it

High infidelity
Put on your headphones and burn my city
Your picket fence is sharp as knives
I was dancing around, dancing around it

Oh, there's many different ways that you can kill the one you love
And it's never enough, it's never enough

Lock broken
Slur spoken
Wound open
Game token
I didn't know you were keeping count
Rain soaking
Blind hoping
You said I was freeloading
I didn't know you were keeping count
But, oh, you were keeping count"
Glitch;"We were supposed to be just friends
You don't live in my part of town but maybe I'll see you out some weekend
Depending on what kind of mood and situation-ship I'm in
And what's in my system

I think there's been a glitch, ah-yeah
Five seconds later I'm fastening myself to you with a stitch, ah-yeah
And I'm not even sorry
Nights are so starry
Blood moonlit
It must be counterfeit
I think there's been a glitch, ah-yeah

I was supposed to sweat you out
In search of glorious happenings of happenstance on someone else's playground
But it's been 2,190 days of our love blackout
(Our love is blacking out)
The system's breaking down
(The system's breaking down)

I think there's been a glitch, ah-yeah
Five seconds later I'm fastening myself to you with a stitch, ah-yeah
And I'm not even sorry
Nights are so starry
Blood moonlit
It must be counterfeit
I think there's been a glitch, ah-yeah

A brief interruption
A slight malfunction
I'd go back to wanting
Dudes who give nothing
I thought we had no chance
And that's romance
Let's dance

Glitch, ah-yeah
Five seconds later I'm fastening myself to you with a stitch, ah-yeah
And I'm not even sorry
Nights are so starry
Blood moonlit
It must be counterfeit
I think there's been a glitch"
"Would've, Could've, Should've";"If you would've blinked, then I would've
Looked away at the first glance
If you tasted poison you could've
Spit me out at the first chance
If I was some paint, did it splatter
On a promising grown man?
And if I was a child, did it matter
If you got to wash your hands?
Oh, all I used to do was pray
Would've, could've, should've
If you'd never looked my way

I would've stayed on my knees
And I damn sure never would've danced with the devil
At nineteen, and the god's honest truth is that the pain was heaven
And now that I'm grown, I'm scared of ghosts
Memories feel like weapons
And now that I know
I wish you'd left me wondering

If you never touched me I would've
Gone along with the righteous
If I never blushed then they could've
Never whispered about this
And if you never saved me from boredom
I could've gone on as I was
But, lord, you made me feel important
And then you tried to erase us
Oh, you're a crisis of my faith
Would've, could've, should've
If I'd only played it safe

I would've stayed on my knees
And I damn sure never would've danced with the devil
At nineteen, and the god's honest truth is that the pain was heaven
And now that I'm grown, I'm scared of ghosts
Memories feel like weapons
And now that I know
I wish you'd left me wondering

God rest my soul
I miss who I used to be
The tomb won't close
Stained glass windows in my mind
I regret you all the time
I can't let this go
I fight with you in my sleep
The wound won't close
I keep on waiting for a sign
I regret you all the time

If clarity's in death, then why won't this die?
Years of tearing down our banners, you and I
Living for the thrill of hitting you where it hurts
Give me back my girlhood, it was mine first

And I damn sure never would've danced with the devil
At nineteen, and the god's honest truth is that the pain was heaven
And now that I'm grown, I'm scared of ghosts
Memories feel like weapons
And now that I know
I wish you'd left me wondering

God rest my soul
I miss who I used to be
The tomb won't close
Stained glass windows in my mind
I regret you all the time
I can't let this go
I fight with you in my sleep
The wound won't close
I keep on waiting for a sign
I regret you all the time

Oh, god rest my soul
I miss who I used to be
The tomb won't close
Stained glass windows in my mind
I regret you all the time
I can't let this go
I fight with you in my sleep
The wound won't close
I keep on waiting for a sign
I regret you all the time"
Dear Reader;"Dear reader
If it feels like a trap
You're already in one
Dear reader
Get out your map
Pick somewhere and just run
Dear reader
Burn all the files, desert all your past lives
And if you don't recognize yourself
That means you did it right

Never take advice from someone who's falling apart
Never take advice from someone who's falling apart

Dear reader
Bend when you can
Snap when you have to
Dear reader
You don't have to answer
Just 'cause they asked you
Dear reader
The greatest of luxuries is your secrets
Dear reader
When you aim at the devil
Make sure you don't miss

Never take advice from someone who's falling apart
Never take advice from someone who's falling apart

So I wander through these nights
I prefer hiding in plain sight
My fourth drink in my hand
These desperate prayers of a cursed man

Spilling out to you for free
But, darling, darling, please
You wouldn't take my word for it
If you knew who was talking
If you knew where I was walking
To a house, not a home, all alone, 'cause nobody's there
Where I pace in my pen and my friends found friends who care
No one sees when you lose when you're playing solitaire

You should find another guiding light
Guiding light, but I shine so bright
You should find another guiding light
Guiding light, but I shine so bright

You should find another
You should find another
Find another
You should find another
"
